id,title,href
1,Товары и корма для собак,/catalog/tovary-i-korma-dlya-sobak/
2,Товары и корма для кошек,/catalog/tovary-i-korma-dlya-koshek/
3,Товары и корма для птиц,/catalog/tovary-i-korma-dlya-ptits/
4,Товары и корма для грызунов,/catalog/tovary-i-korma-dlya-gryzunov/
5,Товары и корма для рыб,/catalog/tovary-i-korma-dlya-ryb/
6,Товары и корма для рептилий,/catalog/tovary-i-korma-dlya-reptiliy/
7,Товары и корма для хорьков,/catalog/tovary-i-korma-dlya-khorkov/
id,title,href
1,Товары и корма для собак,/catalog/tovary-i-korma-dlya-sobak/
2,Товары и корма для кошек,/catalog/tovary-i-korma-dlya-koshek/
3,Товары и корма для птиц,/catalog/tovary-i-korma-dlya-ptits/
4,Товары и корма для грызунов,/catalog/tovary-i-korma-dlya-gryzunov/
5,Товары и корма для рыб,/catalog/tovary-i-korma-dlya-ryb/
6,Товары и корма для рептилий,/catalog/tovary-i-korma-dlya-reptiliy/
7,Товары и корма для хорьков,/catalog/tovary-i-korma-dlya-khorkov/
